date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:53:16	130/130	---M--	302	error ('Found')	text/html	date:Tue,%2003%20Mar%202020%2016:53:13%20GMT	https://madiratnam.com/dashboard.aspx	C:/My%20Web%20Sites/madi/madiratnam.com/dashboard.0.delayed	(from )
08:53:23	11672/11672	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Mar%202020%2016:53:16%20GMT	https://madiratnam.com/Default.aspx	C:/My%20Web%20Sites/madi/madiratnam.com/Default.html	(from )
08:53:35	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Mar%202020%2016:53:33%20GMT	https://madiratnam.com/robots.txt		(from )
08:53:37	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Mar%202020%2016:53:35%20GMT	https://madiratnam.com/www.googletagmanager.com/gtm5445.html?id=	C:/My%20Web%20Sites/madi/madiratnam.com/www.googletagmanager.com/gtm5445.25445.delayed	(from https://madiratnam.com/Default.aspx)
08:53:42	4681/4681	---M--	200	added ('OK')	image/png	etag:%2226f9b94e267d51:0%22	https://madiratnam.com/images/favicon.png	C:/My%20Web%20Sites/madi/madiratnam.com/images/favicon.png	(from https://madiratnam.com/Default.aspx)
08:53:51	167330/167330	---M-Z	200	added ('OK')	text/css	etag:%22b41332fe367d51:0%22	https://madiratnam.com/lib/bootstrap/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/madi/madiratnam.com/lib/bootstrap/dist/css/bootstrap.min.css	(from https://madiratnam.com/Default.aspx)
08:53:54	31022/31022	---M-Z	200	added ('OK')	text/css	etag:%22f32edb43e367d51:0%22	https://madiratnam.com/lib/components-font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/madi/madiratnam.com/lib/components-font-awesome/css/font-awesome.min.css	(from https://madiratnam.com/Default.aspx)
08:53:57	52789/52789	---M-Z	200	added ('OK')	text/css	etag:%22c973fc2be367d51:0%22	https://madiratnam.com/lib/animate/animate.min.css	C:/My%20Web%20Sites/madi/madiratnam.com/lib/animate/animate.min.css	(from https://madiratnam.com/Default.aspx)
08:54:00	9477/9477	---M-Z	200	added ('OK')	text/css	etag:%22bd3708de367d51:0%22	https://madiratnam.com/lib/pace/themes/black/pace-theme-loading-bar.css	C:/My%20Web%20Sites/madi/madiratnam.com/lib/pace/themes/black/pace-theme-loading-bar.css	(from https://madiratnam.com/Default.aspx)
08:54:03	1568/1568	---M-Z	200	added ('OK')	text/css	etag:%2270b67a57e367d51:0%22	https://madiratnam.com/lib/iCheck/skins/all.css	C:/My%20Web%20Sites/madi/madiratnam.com/lib/iCheck/skins/all.css	(from https://madiratnam.com/Default.aspx)
08:54:05	1432/1432	---M-Z	200	added ('OK')	text/css	etag:%2246d163f52c37d51:0%22	https://madiratnam.com/vendor/icheck/icheck-theme.css	C:/My%20Web%20Sites/madi/madiratnam.com/vendor/icheck/icheck-theme.css	(from https://madiratnam.com/Default.aspx)
08:54:09	2417/2417	---M-Z	200	added ('OK')	text/css	etag:%22513628e267d51:0%22	https://madiratnam.com/dist/css/authenticate.min.css	C:/My%20Web%20Sites/madi/madiratnam.com/dist/css/authenticate.min.css	(from https://madiratnam.com/Default.aspx)
08:54:10	3548439/3548439	---MCZ	200	added ('OK')	text/css	etag:%22bca8632e267d51:0%22	https://madiratnam.com/dist/css/app.min.css	C:/My%20Web%20Sites/madi/madiratnam.com/dist/css/app.min.css	(from https://madiratnam.com/Default.aspx)
08:54:18	23063/23063	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2023%20Nov%202019%2005:17:10%20GMT	https://madiratnam.com/WebResource.axd?d=tyqc8P5Szk1gmuGdtg1JCz9_kny5_jybLsKkIkNpUIv31rFn4OakMIACH_gn2BqLhF9Ri8LTVdZ4qSaYwd8BSXQ2uthzHeakwfKqg5fYhCk1&t=637100578300000000	C:/My%20Web%20Sites/madi/madiratnam.com/WebResource34b2.js	(from https://madiratnam.com/Default.aspx)
08:54:26	357754/357754	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2003%20Mar%202020%2016:33:36%20GMT	https://madiratnam.com/ScriptResource.axd?d=yfmDYbbJnf1Jp45_D6QK8_ZqtoB1kMkGlS2C_tXkLBN7NDlEpAwr4ybcQ927GiXkNeiWJj9jzZioO88OqIA4Pmez73Mpc_GdcbhpJz8EMr2sjQiqAYNed1LuZgUWfm2PhIeT-rzekgXpKj69dNk5rQ2&t=ffffffffec54f2d7	C:/My%20Web%20Sites/madi/madiratnam.com/ScriptResourced060.js	(from https://madiratnam.com/Default.aspx)
08:54:27	95654/95654	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2003%20Mar%202020%2016:33:38%20GMT	https://madiratnam.com/ScriptResource.axd?d=rOviFptapRL737l1RJacdcp49Rmd25W-GC_srjNoRbRmd6bG7HMYNK4SCP-FqFWTkcFBeCYR1FcbyFQ5u0kFA-xadGnHHrEP4iFbCiKvhhdAWit7IgXrRlmsd6m72hRReE028w9zN00dE-0avlTDAg2&t=ffffffffec54f2d7	C:/My%20Web%20Sites/madi/madiratnam.com/ScriptResourcedd8f.js	(from https://madiratnam.com/Default.aspx)
08:54:28	331310/331310	---M--	200	added ('OK')	image/jpeg	etag:%2245eeeb4e267d51:0%22	https://madiratnam.com/Images/night.jpg	C:/My%20Web%20Sites/madi/madiratnam.com/Images/night.jpg	(from https://madiratnam.com/Default.aspx)
08:54:30	45217/45217	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2005%20Nov%202019%2012:33:14%20GMT	https://madiratnam.com/Default.aspx?_TSM_HiddenField_=ToolkitScriptManager1_HiddenField&_TSM_CombinedScripts_=%3b%3bAjaxControlToolkit%2c+Version%3d3.5.40412.0%2c+Culture%3dneutral%2c+PublicKeyToken%3d28f01b0e84b6d53e%3aen-US%3a1547e793-5b7e-48fe-8490-03a375b13a33%3ade1feab2%3af9cec9bc%3a35576c48	C:/My%20Web%20Sites/madi/madiratnam.com/Default6346.js	(from https://madiratnam.com/Default.aspx)
08:54:32	3005/3005	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2023%20Nov%202019%2005:17:10%20GMT	https://madiratnam.com/WebResource.axd?d=1kqqYpKRjvGuDMvDtjjPvcrd5tJrWttuFXZMQo70d_VSoaMUY56YP_JnncDbzZKx_J0kuNiw-615-gNrKDNRCB-fx-XrttTIyS5JLZaRgGg1&t=637100578300000000	C:/My%20Web%20Sites/madi/madiratnam.com/WebResourcea7cf.js	(from https://madiratnam.com/Default.aspx)
08:54:35	7138/7138	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Mar%202020%2016:54:32%20GMT	https://madiratnam.com/PasswordRecovery.aspx	C:/My%20Web%20Sites/madi/madiratnam.com/PasswordRecovery.html	(from https://madiratnam.com/Default.aspx)
08:54:39	53881/53881	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Mar%202020%2016:54:36%20GMT	https://madiratnam.com/JoinUs.aspx	C:/My%20Web%20Sites/madi/madiratnam.com/JoinUs.html	(from https://madiratnam.com/Default.aspx)
08:54:44	213859/213859	---M--	200	added ('OK')	image/jpeg	etag:%22c0e9aea9e267d51:0%22	https://madiratnam.com/Images/logo.jpg	C:/My%20Web%20Sites/madi/madiratnam.com/Images/logo.jpg	(from https://madiratnam.com/Default.aspx)
08:54:46	86709/86709	---M-Z	200	added ('OK')	application/javascript	etag:%22565797ee367d51:0%22	https://madiratnam.com/lib/jquery/dist/jquery.min.js	C:/My%20Web%20Sites/madi/madiratnam.com/lib/jquery/dist/jquery.min.js	(from https://madiratnam.com/Default.aspx)
08:54:49	37045/37045	---M-Z	200	added ('OK')	application/javascript	etag:%22c55ca32e367d51:0%22	https://madiratnam.com/lib/bootstrap/dist/js/bootstrap.min.js	C:/My%20Web%20Sites/madi/madiratnam.com/lib/bootstrap/dist/js/bootstrap.min.js	(from https://madiratnam.com/Default.aspx)
08:54:53	2626/2626	---M-Z	200	added ('OK')	application/javascript	etag:%22e53892c92c37d51:0%22	https://madiratnam.com/vendor/animate.js	C:/My%20Web%20Sites/madi/madiratnam.com/vendor/animate.js	(from https://madiratnam.com/Default.aspx)
08:54:55	12507/12507	---M-Z	200	added ('OK')	application/javascript	etag:%22a681fa8be367d51:0%22	https://madiratnam.com/lib/pace/pace.min.js	C:/My%20Web%20Sites/madi/madiratnam.com/lib/pace/pace.min.js	(from https://madiratnam.com/Default.aspx)
08:54:58	4931/4931	---M-Z	200	added ('OK')	application/javascript	etag:%22d9e78956e367d51:0%22	https://madiratnam.com/lib/iCheck/icheck.min.js	C:/My%20Web%20Sites/madi/madiratnam.com/lib/iCheck/icheck.min.js	(from https://madiratnam.com/Default.aspx)
08:55:02	446/446	---M-Z	200	added ('OK')	application/javascript	etag:%22e59e23ae267d51:0%22	https://madiratnam.com/dist/js/theme-setting.min.js	C:/My%20Web%20Sites/madi/madiratnam.com/dist/js/theme-setting.min.js	(from https://madiratnam.com/Default.aspx)
08:55:04	932/932	---M-Z	200	added ('OK')	application/javascript	etag:%228461f32ce267d51:0%22	https://madiratnam.com/dist/js/components.min.js	C:/My%20Web%20Sites/madi/madiratnam.com/dist/js/components.min.js	(from https://madiratnam.com/Default.aspx)
08:55:07	426/426	---M-Z	200	added ('OK')	application/javascript	etag:%226dd11e37e267d51:0%22	https://madiratnam.com/dist/js/scroll-top.min.js	C:/My%20Web%20Sites/madi/madiratnam.com/dist/js/scroll-top.min.js	(from https://madiratnam.com/Default.aspx)
08:55:11	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Mar%202020%2016:55:08%20GMT	https://madiratnam.com/www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/madi/madiratnam.com/www.google-analytics.com/analytics.1d.delayed	(from https://madiratnam.com/Default.aspx)
